P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.6,1.85,1.2,2.22,2.03,227.2272,298.205,399.2266,989.1,1054.8,1138.8,1032.6,1098.2,1182.3,9.1,-24.74,3.52,5.77,0.0634,0.14,0.06,58,1.08,1.09,5765,1.188271,0.19,6.3,6.6,23.4,0.3117,-8.0531,-33,9.3003,2,0,0.819,1.93,-2.36,-0.14,-0.53,0.29,0.26,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.91,1.73,1.14,1.97,1.85,95.23772,95.23772,95.23775,795.9,795.9,795.9,838,838,838,6.7,-23.34,3.29,13.51,0.1117,0,0.11,0,1.08,1.09,5765,1.188271,0.19,6.3,6.6,23.4,0.3117,-8.0531,-31.7,5.226,2,0,0.819,1.93,-2.27,-0.15,-0.46,0.3,0.28,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.22,1.94,1.25,2.44,2.18,88.17264,122.4645,175.1805,780.7,842.9,926.9,825.2,887.4,971.3,11.6,-23.89,3.7,5.4,0.057,0.17,0.06,25,0.83,0.78,5177,0.392095,-0.15,,7.2,16.8,1.3664,76.7103,-32,7.4054,1,0,0.486,1.167,-2.26,-0.14,-0.29,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.7,1.4,0.99,1.39,1.39,45.3158,45.3158,45.3158,661,661,661,699.2,699.2,699.2,2.7,-22.06,2.65,18.32,0.1207,0,0.12,0,0.85,0.9,5490,0.660183,-0.38,14,4.3,6.06,3.3322,-43.0697,-30.9,3.9745,3,0,0.62,1.473,-2.17,-0.16,-0.68,0.3,0.31,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.42,1.35,0.98,1.32,1.34,15.92607,15.92607,15.92607,508.9,508.9,508.9,546.6,546.6,546.6,2.4,-20.85,2.57,40.11,0.2036,0,0.2,0,0.85,0.9,5490,0.660183,-0.38,14,4.3,6.06,3.3322,-43.0697,-29.7,2.3559,3,0,0.62,1.473,-1.98,-0.16,-0.58,0.33,0.37,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.77,1.64,1.09,1.78,1.71,5.392327,5.392328,5.392329,388.2,388.2,388.2,429.3,429.3,429.3,5.2,-20.08,3.11,90.31,0.3499,0,0.35,0,0.85,0.9,5490,0.660183,-0.38,14,4.3,6.06,3.3322,-43.0697,-28.6,1.3708,3,0,0.62,1.473,-1.63,-0.15,-0.05,0.38,0.48,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.72,1.53,1.04,1.6,1.56,100.4558,147.6147,225.9877,806.6,881.3,987.8,846.4,921.1,1027.6,3.9,-23.57,2.9,5.64,0.0519,0.2,0.05,0,0.59,0.79,5150,0.389583,,,8.1,25.9,5.7422,-70.1436,-32.2,8.2694,3,0,0.485,1.167,-2.27,-0.15,-0.72,0.29,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.95,1.74,1.14,1.98,1.85,34.74563,43.06717,54.04093,618.5,651.2,690.8,660.7,693.3,732.9,6.8,-22.49,3.3,14.03,0.0954,0.11,0.09,0,0.59,0.79,5150,0.389583,,,8.1,25.9,5.7422,-70.1436,-30.8,4.432,3,0,0.485,1.167,-2.15,-0.15,-0.33,0.31,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.15,1.67,1.11,1.85,1.76,9.14646,13.44025,20.57608,443.1,484.1,542.6,484.5,525.5,584.1,5.7,-21.15,3.17,33.94,0.172,0.2,0.17,0,0.59,0.79,5150,0.389583,,,8.1,25.9,5.7422,-70.1436,-29.6,2.4933,3,0,0.485,1.167,-1.92,-0.15,-0.2,0.34,0.36,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.01,1.56,1.06,1.65,1.6,73.98457,108.7165,166.4374,747.2,816.4,915.1,787.4,856.6,955.3,4.2,-23.28,2.96,4.31,0.0468,0.2,0.05,194,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-31.9,7.5714,6,1,0.379,0.917,-2.24,-0.15,-0.65,0.3,0.29,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.61,1.78,1.16,2.08,1.92,32.52684,36.61104,41.3593,608.4,626.3,646.1,651.2,669,688.8,7.7,-22.37,3.39,9.62,0.0799,0.06,0.08,234,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-30.7,4.3509,6,1,0.379,0.917,-2.11,-0.14,-0.24,0.32,0.3,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.51,1.96,1.26,2.47,2.2,11.67825,13.40243,15.45791,471,487,505.2,515.6,531.6,549.8,12,-21.48,3.73,20.43,0.1321,0.07,0.13,17,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-29.6,2.6329,6,1,0.379,0.917,-1.92,-0.14,0.2,0.34,0.34,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.5,1.5,1.03,1.55,1.53,4.960214,6.634083,9.078231,380.2,407.1,442.2,419.7,446.6,481.7,3.6,-20.14,2.85,34.62,0.1886,0.15,0.19,302,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-28.8,1.8606,6,1,0.379,0.917,-1.71,-0.15,-0.27,0.37,0.46,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.21,1.68,1.11,1.86,1.76,3.675672,3.824859,3.981772,352.8,356.3,359.9,394.3,397.8,401.4,5.8,-19.76,3.18,51.76,0.247,0.02,0.25,354,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-28.2,1.4049,6,1,0.379,0.917,-1.49,-0.15,0.08,0.4,0.54,1,0
Warm,Superterran,rocky-iron,metals-rich,psychroplanet,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,270.5,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,91.2,0.77,0.65,4977,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6,1,0.379,0.917,-0.23,-0.14,0.77,0.55,0.74,1,1
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.5,1.5,1.03,1.55,1.53,1.512592,1.874856,2.35258,282.5,297.4,315.5,322,336.9,355,3.6,-18.75,2.85,58.43,0.26,0.11,0.26,178,0.69,0.53,4715,0.125971,-0.33,5.61,7.7,11.15,9.8519,-43.5028,-27.4,1.0992,1,0,0.282,0.689,-1.11,-0.15,-0.02,0.47,0.74,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.36,1.9,1.22,2.32,2.1,95.05126,127.1272,173.9637,795.5,851.8,925.3,839.4,895.8,969.2,10.2,-23.87,3.61,13.19,0.1116,0.15,0.11,0,1.07,1.19,5940,1.565398,,,7.5,42.2,10.7708,-41.4644,-32,5.74,2,0,0.93,2.182,-2.31,-0.14,-0.34,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.03,1.93,1.25,2.41,2.16,197.8119,240.5362,295.4697,955.5,1001.4,1056.3,999.8,1045.8,1100.6,11.3,-24.6,3.68,8.13,0.0774,0.1,0.08,0,0.94,1.14,5940,1.433771,,,6.5,25.6,11.1317,-30.1744,-32.7,7.8735,2,0,0.89,2.088,-2.36,-0.14,-0.41,0.29,0.26,0,0
Hot,Superterran,rocky-water,metals-rich,non-habitable,7.55,2.25,0.67,1.5,1.83,45.93164,53.53564,62.78501,663.2,688.3,717.1,704.2,729.3,758.1,5,-23.28,4.27,9.49,0.08,0.08,0.08,71,0.85,0.73,5170,0.341584,-0.23,,6.3,21.1,11.2425,25.7103,-31.1,4.8792,1,0,0.454,1.09,-2.18,0.6,-0.38,0.3,0.27,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.28,1.95,1.26,2.45,2.18,80.427,107.5678,147.1982,762.9,817,887.4,807.5,861.5,931.9,11.7,-23.74,3.7,12.08,0.1023,0.15,0.1,0,0.98,1,5940,1.112991,,,6.8,26.5,15.2542,-70.5197,-31.8,5.2797,3,1,0.784,1.84,-2.29,-0.14,-0.26,0.3,0.26,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.28,1.68,1.11,1.87,1.77,86.50932,122.437,179.1152,777,842.3,932,818.6,883.8,973.6,5.9,-23.57,3.19,11.58,0.0933,0.18,0.09,0,0.81,0.97,5940,1.048391,,,5.7,14.8,15.3633,-48.3175,-32,5.6474,3,0,0.761,1.785,-2.3,-0.15,-0.56,0.3,0.28,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.54,1.96,1.26,2.48,2.21,3.035982,6.874417,19.10249,336.3,397.3,532.6,380.9,441.9,577.3,12.1,-20.86,3.73,106.72,0.411,0.43,0.37,0,0.81,0.97,5940,1.048391,,,5.7,14.8,15.3633,-48.3175,-28.9,1.3963,3,0,0.761,1.785,-1.72,-0.14,0.34,0.36,0.41,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.14,1.75,1.15,2,1.87,22.21726,45.72929,110.0386,553.1,643.6,825.1,595.5,686,867.5,7,-22.65,3.33,18.6,0.1316,0.38,0.12,0,0.88,1.08,5150,0.732555,,,6.6,17.8,17.0744,-28.5828,-31,4.7343,1,0,0.665,1.6,-2.15,-0.14,-0.34,0.31,0.29,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.17,1.58,1.06,1.68,1.63,102.9394,102.9394,102.9395,811.5,811.5,811.5,851.9,851.9,851.9,4.4,-23.22,2.99,4.65,0.05,0,0.05,0,0.77,0.72,4850,0.257349,0.05,8.6,8.4,24.5,17.2944,29.2272,-31.8,7.6797,1,0,0.4,0.973,-2.22,-0.15,-0.63,0.3,0.29,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,7.57,1.85,1.2,2.21,2.02,24.1611,51.26298,129.0297,564.8,660.5,858.7,608.3,704,902.1,9.1,-22.9,3.51,9.37,0.08,0.4,0.07,202,0.78,0.75,4962,0.301261,0.33,,8.4,26.15,19.4194,-66.4689,-31.1,5.4198,3,0,0.431,1.043,-2.16,-0.14,-0.25,0.31,0.28,1,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.77,1.41,1,1.4,1.4,33.59565,64.12962,138.4503,613.4,704.7,873.9,651.7,743,912.3,2.8,-22.52,2.67,7.28,0.0652,0.34,0.06,0,0.7,0.64,5150,0.256376,,,8.1,21.5,22.7225,-6.4008,-31.3,5.5608,2,0,0.394,0.946,-2.2,-0.16,-0.73,0.3,0.3,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.08,1.45,1.01,1.47,1.46,18.55069,38.18246,91.87859,528.7,615.3,788.8,567.6,654.1,827.6,3.1,-22.04,2.75,10.87,0.0852,0.38,0.08,0,0.7,0.64,5150,0.256376,,,8.1,21.5,22.7225,-6.4008,-30.8,4.3258,2,0,0.394,0.946,-2.13,-0.16,-0.62,0.31,0.32,0,0
Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.36,1.77,1.15,2.04,1.9,166.6687,227.1649,317.7979,915.4,984.3,1075.7,957.9,1026.8,1118.2,7.3,-24.35,3.36,3.93,0.047,0.16,0.05,96,0.87,0.9,5113,0.495342,0.23,7,9,44,22.7769,-56.5994,-32.7,10.3739,2,1,0.548,1.32,-2.3,-0.14,-0.57,0.3,0.27,1,0
Warm,Superterran,rocky-iron,metals-rich,psychroplanet,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187,205.1,231.4,228.1,246.2,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,80.4,0.28,0.29,3550,0.011984,-0.86,8,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2,1,0.089,0.232,0.08,-0.15,0.57,0.63,0.67,0,1
Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,7,1.81,1.18,2.13,1.97,0.08191247,0.1273154,0.2089763,136.3,150.6,172.3,179.3,193.7,215.3,8.2,-16.25,3.44,121.54,0.311,0.23,0.3,0,0.28,0.29,3550,0.011984,-0.86,8,8.8,3.91,5.1947,-45.0183,-24.5,0.5106,2,1,0.089,0.232,2.06,-0.14,1.34,0.29,0.41,0,0
Hot,Neptunian,water-gas,metals-rich,non-habitable,26.21,4,0.41,1.64,2.56,1122.75,1122.75,1122.75,1474.7,1474.7,1474.7,1518.9,1518.9,1518.9,10.8,-27.86,7.6,3.21,0.0456,0,0.05,0,1.22,1.49,5857,2.334601,0.17,4.5,12.7,550,19.0411,50.1358,-34.4,17.4455,1,0,1.141,2.683,-2.42,1.97,-0.44,0.24,0.18,0,0
Hot,Superterran,rocky-water,metals-rich,non-habitable,5.25,2,0.66,1.32,1.62,1561.497,1561.498,1561.498,1601.5,1601.5,1601.5,1640.8,1640.8,1640.8,3.5,-26.71,3.8,1.59,0.0273,0,0.03,0,1,1.1,5722,1.163769,0.17,3,13.9,,19.0383,38.4008,-34.8,21.6005,3,0,0.812,1.917,-2.42,0.5,-0.95,0.27,0.26,0,0
