,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
3678,Hot,Jovian,gas,hydrogen-rich,non-habitable,6.741968,8.166725,9.989394,1087.35,11.62,0.69,8.06,9.68,410.5,429.9,452.9,879.9998278829605,883.6011474469306,889.4679288582904,754.3,-24.82,22.21,562.0,1.4140000000000001,0.1,1.41,129.0,1.19,5.9,4776.0,16.249914999999998,-0.06,4.18801899007337,9.9,556.0,3.0389,49.7444,-29.0,2.2345,1.0,0.0,3.1889999999999996,7.7829999999999995,-1.77,8.26,7.28,0.08,0.2,0.0,0.0
3679,Hot,Jovian,gas,hydrogen-rich,non-habitable,276.2998,471.4487,873.0513,3427.39,11.53,2.24,25.78,17.24,1038.7,1169.2,1384.9,879.9998278829605,883.6011474469306,889.4679288582904,7662.7,-29.27,22.05,101.54,0.42200000000000004,0.28,0.41,288.9,0.97,16.21,4300.0,80.599003,-0.07,10.1,10.6,700.0,22.9248,62.2391,-33.5,21.4485,1.0,0.0,7.226,18.022000000000002,-2.26,11.66,7.89,0.07,0.06,0.0,0.0
3680,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.02463698,0.02463698,0.02463698,406.96,10.69,0.33,3.56,6.17,100.9,100.9,100.9,879.9998278829605,883.6011474469306,889.4679288582904,135.8,-18.3,20.41,721.5746168324818,4.18,0.0,4.18,0.0,0.81,1.4982379558158103,5481.50649867374,0.430467,-0.06014540337711069,4.18801899007337,12.249795918367347,6300.0,17.7769,-29.2114,-22.7,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,9.95,6.8,10.15,0.06,0.14,0.0,0.0
3681,Hot,Jovian,gas,metals-rich,non-habitable,997.2035,1021.057,1045.641,197.12,9.31,0.24,2.27,4.6,1431.7,1440.1,1448.7,879.9998278829605,883.6011474469306,889.4679288582904,48.1,-29.6,17.77,4.62,0.059000000000000004,0.01,0.06,44.5,1.27,1.63,6212.0,3.55405,0.09,3.8,4.1,13.47,1.6133,41.4106,-34.3,14.7739,4.0,1.0,1.3780000000000001,3.214,-2.44,5.81,0.61,0.14,0.14,0.0,0.0
3682,Hot,Jovian,gas,hydrogen-rich,non-habitable,3.096088,4.944282,8.3994,2893.25,11.61,1.85,21.47,15.79,337.9,375.6,433.7,879.9998278829605,883.6011474469306,889.4679288582904,5349.9,-24.3,22.2,240.94,0.861,0.24,0.83,247.6,1.27,1.63,6212.0,3.55405,0.09,3.8,4.1,13.47,1.6133,41.4106,-28.5,1.0411,4.0,1.0,1.3780000000000001,3.214,-1.56,10.93,13.87,0.05,0.23,0.0,0.0
3683,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.3156723,0.5760873,1.168237,7497.03,10.7,6.11,65.45,26.47,191.0,217.7,264.9,879.9998278829605,883.6011474469306,889.4679288582904,45842.6,-21.8,20.45,1281.44,2.55,0.32,2.42,253.0,1.27,1.63,6212.0,3.55405,0.09,3.8,4.1,13.47,1.6133,41.4106,-26.2,0.3593,4.0,1.0,1.3780000000000001,3.214,0.31,16.64,32.39,0.03,0.33,0.0,0.0
3684,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.1277887,0.1291634,0.1305574,336.7,10.37,0.3,3.13,5.7,152.3,152.7,153.1,879.9998278829605,883.6011474469306,889.4679288582904,101.6,-20.04,19.81,3848.86,5.2456,0.01,5.25,7.3,1.27,1.63,6212.0,3.55405,0.09,3.8,4.1,13.47,1.6133,41.4106,-24.5,0.1657,4.0,1.0,1.3780000000000001,3.214,3.21,6.54,7.18,0.09,0.24,0.0,0.0
3685,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,14943.18,9.41,17.92,168.66,39.84,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,267760.0,-23.631825334382377,17.96,721.5746168324818,1000.0,0.0,1000.0,0.0,0.9731187859759288,1.4982379558158103,4550.0,4.748896123665712,-0.06014540337711069,4.18801899007337,12.249795918367347,614.4452976190478,16.0475,-24.0307,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,25.48,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
3686,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,6358.8,10.94,4.86,53.12,24.11,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,30873.8,-23.631825334382377,20.91,721.5746168324818,840.0,0.0,840.0,0.0,0.9731187859759288,1.4982379558158103,4140.0,4.748896123665712,-0.06014540337711069,4.18801899007337,12.249795918367347,614.4452976190478,16.1756,-19.2191,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,15.3,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
3687,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,8266.44,10.55,7.05,74.31,28.0,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,58243.7,-23.631825334382377,20.15,721.5746168324818,430.0,0.0,430.0,0.0,0.9731187859759288,1.4982379558158103,3410.0,4.748896123665712,-0.06014540337711069,4.18801899007337,12.249795918367347,614.4452976190478,16.2136,-18.0138,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,17.54,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
3688,Cold,Jovian,gas,hydrogen-rich,non-habitable,7.05E-10,7.05E-10,7.05E-10,4451.16,11.34,3.05,34.61,19.81,1.3,1.3,1.3,879.9998278829605,883.6011474469306,889.4679288582904,13583.8,0.52,21.68,721.5746168324818,670.0,0.0,670.0,0.0,0.06,0.09,2600.0,0.00031600000000000004,-0.06014540337711069,0.011000000000000001,12.249795918367347,145.0,16.0983,-18.3119,-3.7,0.0001,1.0,0.0,0.015,0.04,53480.59,12.98,332.55,0.0,0.06,0.0,0.0
3689,Cold,Jovian,gas,hydrogen-rich,non-habitable,0.05760276,0.06358353,0.07036453,2448.14,11.66,1.55,18.02,14.49,124.8,127.9,131.2,879.9998278829605,883.6011474469306,889.4679288582904,3783.8,-19.53,22.29,1900.0,2.8,0.05,2.8,0.0,0.84,1.4982379558158103,5481.50649867374,0.497871,-0.06014540337711069,4.18801899007337,18.2,614.4452976190478,3.5914,-25.7394,-23.7,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,5.27,10.3,23.04,0.04,0.13,0.0,0.0
3690,Hot,Jovian,gas,hydrogen-rich,non-habitable,12.1037,12.1037,12.1037,1017.41,11.59,0.65,7.57,9.37,475.2,475.2,475.2,879.9998278829605,883.6011474469306,889.4679288582904,664.8,-25.24,22.16,1170.0,1.7,0.0,1.7,0.0,0.5,0.23,29300.0,34.979689,-0.06014540337711069,10.0,14.6,1400.0,22.07,26.4189,-29.5,0.0721,1.0,0.0,4.101,9.451,-1.9,8.15,6.58,0.09,0.17,0.0,0.0
3691,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,5818.3,11.06,4.31,47.6,22.94,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,25052.1,-23.631825334382377,21.13,721.5746168324818,10.77480166927491,0.0,10.74170057381325,0.0,0.32,1.4982379558158103,5481.50649867374,0.016733,-0.06014540337711069,4.18801899007337,17.3,614.4452976190478,13.2129,-23.3589,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,14.65,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
3692,Hot,Jovian,gas,hydrogen-rich,non-habitable,360.3759,360.3759,360.376,244.81,9.77,0.26,2.57,5.01,1110.0,1110.0,1110.0,879.9998278829605,883.6011474469306,889.4679288582904,64.3,-28.57,18.64,4.93,0.057,0.0,0.06,0.0,1.0,2.0,4250.0,1.1708610000000002,-0.06014540337711069,0.002,12.1,131.0,4.5528,24.5619,-33.2,18.7828,1.0,0.0,0.872,2.181,-2.25,6.11,1.18,0.13,0.13,0.0,0.0
3693,Hot,Jovian,gas,metals-rich,non-habitable,             ,             ,             ,2320.96,11.67,1.46,17.05,14.1,754.328616269945,765.3643735286424,787.0141511901649,879.9998278829605,883.6011474469306,889.4679288582904,3392.5,-23.631825334382377,22.31,721.5746168324818,9.0,0.37,8.36,0.0,0.9731187859759288,1.4982379558158103,5481.50649867374,4.748896123665712,-0.06014540337711069,4.18801899007337,13.0,614.4452976190478,17.1386,-25.8088,-30.396547214229663,6.976087276129377,1.0,0.0,0.9733436334576451,2.323896377197656,120.02285377975412,10.12,4.429553382663848,0.21608879492600425,0.2633656110965716,0.0,0.0
